sport,liga,sezon,data,druzyna,gp,w,d,l,otw,otl,gf,ga
koszykówka,PLK,2025-26,2026-05-08,Stal Ostrów Wielkopolski,30,16,0,14,0,0,2485,2524
koszykówka,PLK,2025-26,2026-05-08,Górnik Wałbrzych,30,15,0,15,0,0,2464,2532
koszykówka,PLK,2025-26,2026-05-08,Twarde Pierniki Toruń,30,12,0,18,0,0,2647,2716
koszykówka,PLK,2025-26,2026-05-08,Start Lublin,30,10,0,20,0,0,2489,2717
koszykówka,PLK,2025-26,2026-05-08,Czarni Słupsk,30,9,0,21,0,0,2491,2621
koszykówka,PLK,2025-26,2026-05-08,GTK Gliwice,30,7,0,23,0,0,2419,2676
koszykówka,PLK,2025-26,2026-05-08,Miasto Szkła Krosno,30,4,0,26,0,0,2449,2724
koszykówka,ACB,2025-26,2026-05-29,Real Madrid,34,26,0,8,0,0,3160,2906
koszykówka,ACB,2025-26,2026-05-29,Valencia Basket,34,25,0,9,0,0,3218,2829
koszykówka,ACB,2025-26,2026-05-29,Baskonia,34,25,0,9,0,0,3177,2950
koszykówka,ACB,2025-26,2026-05-29,UCAM Murcia,34,25,0,9,0,0,3113,2876
koszykówka,ACB,2025-26,2026-05-29,Barcelona,34,24,0,10,0,0,3046,2815
koszykówka,ACB,2025-26,2026-05-29,Joventut Badalona,34,22,0,12,0,0,2906,2766
koszykówka,ACB,2025-26,2026-05-29,Bilbao Basket,34,19,0,15,0,0,2884,2924
koszykówka,ACB,2025-26,2026-05-29,La Laguna Tenerife,34,18,0,16,0,0,3040,2940
koszykówka,ACB,2025-26,2026-05-29,Unicaja,34,17,0,17,0,0,2978,2956
koszykówka,ACB,2025-26,2026-05-29,Bàsquet Manresa,34,16,0,18,0,0,2932,3080
koszykówka,ACB,2025-26,2026-05-29,Río Breogán,34,15,0,19,0,0,3094,3171
koszykówka,ACB,2025-26,2026-05-29,Bàsquet Girona,34,14,0,20,0,0,2913,3024
koszykówka,ACB,2025-26,2026-05-29,San Pablo Burgos,34,12,0,22,0,0,3049,3152
koszykówka,ACB,2025-26,2026-05-29,Força Lleida,34,12,0,22,0,0,2856,3097
koszykówka,ACB,2025-26,2026-05-29,Casademont Zaragoza,34,10,0,24,0,0,2962,3176
koszykówka,ACB,2025-26,2026-05-29,MoraBanc Andorra,34,10,0,24,0,0,2976,3169
koszykówka,ACB,2025-26,2026-05-29,Gran Canaria,34,10,0,24,0,0,2764,2932
koszykówka,ACB,2025-26,2026-05-29,Covirán Granada,34,6,0,28,0,0,2848,3153
koszykówka,EuroLeague,2025-26,2026-04-17,Olympiacos,38,26,0,12,0,0,3406,3144
koszykówka,EuroLeague,2025-26,2026-04-17,Valencia Basket,38,25,0,13,0,0,3418,3243
koszykówka,EuroLeague,2025-26,2026-04-17,Real Madrid,38,24,0,14,0,0,3342,3156
koszykówka,EuroLeague,2025-26,2026-04-17,Fenerbahçe,38,24,0,14,0,0,3114,3061
koszykówka,EuroLeague,2025-26,2026-04-17,Žalgiris Kaunas,38,23,0,15,0,0,3304,3125
koszykówka,EuroLeague,2025-26,2026-04-17,Hapoel Tel Aviv,38,23,0,15,0,0,3329,3211
koszykówka,EuroLeague,2025-26,2026-04-17,Panathinaikos,38,22,0,16,0,0,3314,3228
koszykówka,EuroLeague,2025-26,2026-04-17,AS Monaco,38,22,0,16,0,0,3417,3282
koszykówka,EuroLeague,2025-26,2026-04-17,Barcelona,38,21,0,17,0,0,3167,3147
koszykówka,EuroLeague,2025-26,2026-04-17,Crvena zvezda,38,21,0,17,0,0,3287,3245
koszykówka,EuroLeague,2025-26,2026-04-17,Dubai Basketball,38,19,0,19,0,0,3324,3325
koszykówka,EuroLeague,2025-26,2026-04-17,Maccabi Tel Aviv,38,18,0,20,0,0,3386,3486
koszykówka,EuroLeague,2025-26,2026-04-17,Bayern Munich,38,17,0,21,0,0,3063,3168
koszykówka,EuroLeague,2025-26,2026-04-17,Olimpia Milano,38,17,0,21,0,0,3246,3294
koszykówka,EuroLeague,2025-26,2026-04-17,Partizan,38,16,0,22,0,0,3052,3242
koszykówka,EuroLeague,2025-26,2026-04-17,Paris Basketball,38,15,0,23,0,0,3422,3456
koszykówka,EuroLeague,2025-26,2026-04-17,Virtus Bologna,38,14,0,24,0,0,3110,3285
koszykówka,EuroLeague,2025-26,2026-04-17,Baskonia,38,13,0,25,0,0,3321,3483
koszykówka,EuroLeague,2025-26,2026-04-17,Anadolu Efes,38,12,0,26,0,0,2991,3151
koszykówka,EuroLeague,2025-26,2026-04-17,ASVEL,38,8,0,30,0,0,2989,3270
koszykówka,EuroCup,2025-26,2026-02-11,Hapoel Jerusalem,18,13,0,5,0,0,1702,1506
koszykówka,EuroCup,2025-26,2026-02-11,Bahçeşehir Koleji,18,12,0,6,0,0,1593,1475
koszykówka,EuroCup,2025-26,2026-02-11,Cedevita Olimpija,18,12,0,6,0,0,1596,1413
koszykówka,EuroCup,2025-26,2026-02-11,Reyer Venezia,18,11,0,7,0,0,1593,1538
koszykówka,EuroCup,2025-26,2026-02-11,Bàsquet Manresa,18,11,0,7,0,0,1624,1619
koszykówka,EuroCup,2025-26,2026-02-11,U-BT Cluj-Napoca,18,9,0,9,0,0,1714,1657
koszykówka,EuroCup,2025-26,2026-02-11,Aris Thessaloniki,18,8,0,10,0,0,1500,1593
koszykówka,EuroCup,2025-26,2026-02-11,Neptūnas Klaipėda,18,7,0,11,0,0,1637,1725
koszykówka,EuroCup,2025-26,2026-02-11,Śląsk Wrocław,18,5,0,13,0,0,1516,1680
koszykówka,EuroCup,2025-26,2026-02-11,Veolia Towers Hamburg,18,2,0,16,0,0,1472,1741
koszykówka,EuroCup,2025-26,2026-02-11,Beşiktaş,18,13,0,5,0,0,1666,1489
koszykówka,EuroCup,2025-26,2026-02-11,JL Bourg,18,13,0,5,0,0,1495,1383
koszykówka,EuroCup,2025-26,2026-02-11,Budućnost Podgorica,18,12,0,6,0,0,1598,1461
koszykówka,EuroCup,2025-26,2026-02-11,Türk Telekom,18,12,0,6,0,0,1562,1352
koszykówka,EuroCup,2025-26,2026-02-11,Aquila Basket Trento,18,11,0,7,0,0,1486,1513
koszykówka,EuroCup,2025-26,2026-02-11,Niners Chemnitz,18,9,0,9,0,0,1449,1458
koszykówka,EuroCup,2025-26,2026-02-11,Ratiopharm Ulm,18,7,0,11,0,0,1470,1622
koszykówka,EuroCup,2025-26,2026-02-11,London Lions,18,5,0,13,0,0,1335,1437
koszykówka,EuroCup,2025-26,2026-02-11,Lietkabelis,18,5,0,13,0,0,1415,1502
koszykówka,EuroCup,2025-26,2026-02-11,Panionios,18,3,0,15,0,0,1349,1608
koszykówka,Lega A,2025-26,2026-05-10,Virtus Bologna,28,23,0,5,0,0,2419,2212
koszykówka,Lega A,2025-26,2026-05-10,Pallacanestro Brescia,28,21,0,7,0,0,2493,2351
koszykówka,Lega A,2025-26,2026-05-10,Olimpia Milano,28,20,0,8,0,0,2434,2247
koszykówka,Lega A,2025-26,2026-05-10,Reyer Venezia,28,19,0,9,0,0,2522,2381
koszykówka,Lega A,2025-26,2026-05-10,Derthona Tortona,28,17,0,11,0,0,2418,2375
koszykówka,Lega A,2025-26,2026-05-10,Pallacanestro Reggiana,28,15,0,13,0,0,2347,2245
koszykówka,Lega A,2025-26,2026-05-10,Pallacanestro Trieste,28,13,0,15,0,0,2350,2443
koszykówka,Lega A,2025-26,2026-05-10,Aquila Basket Trento,28,12,0,16,0,0,2378,2371
koszykówka,Lega A,2025-26,2026-05-10,Pallacanestro Varese,28,12,0,16,0,0,2355,2460
koszykówka,Lega A,2025-26,2026-05-10,Napoli Basket,28,11,0,17,0,0,2366,2424
koszykówka,Lega A,2025-26,2026-05-10,Vanoli Cremona,28,11,0,17,0,0,2307,2402
koszykówka,Lega A,2025-26,2026-05-10,Universo Treviso Basket,28,10,0,18,0,0,2341,2494
koszykówka,Lega A,2025-26,2026-05-10,APU Udine,28,10,0,18,0,0,2280,2340
koszykówka,Lega A,2025-26,2026-05-10,Pallacanestro Cantù,28,9,0,19,0,0,2369,2486
koszykówka,Lega A,2025-26,2026-05-10,Dinamo Sassari,28,7,0,21,0,0,2373,2521
koszykówka,BBL,2025-26,2026-05-10,Bayern Munich,34,29,0,5,0,0,2980,2530
koszykówka,BBL,2025-26,2026-05-10,Alba Berlin,34,24,0,10,0,0,2918,2648
koszykówka,BBL,2025-26,2026-05-10,Bamberg Baskets,34,24,0,10,0,0,3055,2777
koszykówka,BBL,2025-26,2026-05-10,Telekom Baskets Bonn,34,21,0,13,0,0,2853,2731
koszykówka,BBL,2025-26,2026-05-10,Würzburg Baskets,34,20,0,14,0,0,2780,2727
koszykówka,BBL,2025-26,2026-05-10,Ratiopharm Ulm,34,19,0,15,0,0,2817,2665
koszykówka,BBL,2025-26,2026-05-10,Rasta Vechta,34,17,0,17,0,0,3064,3009
koszykówka,BBL,2025-26,2026-05-10,Gladiators Trier,34,17,0,17,0,0,3073,3171
koszykówka,BBL,2025-26,2026-05-10,Rostock Seawolves,34,17,0,17,0,0,2849,2796
koszykówka,BBL,2025-26,2026-05-10,MHP Riesen Ludwigsburg,34,17,0,17,0,0,2801,2786
koszykówka,BBL,2025-26,2026-05-10,EWE Baskets Oldenburg,34,16,0,18,0,0,2826,2866
koszykówka,BBL,2025-26,2026-05-10,Niners Chemnitz,34,16,0,18,0,0,2839,2913
koszykówka,BBL,2025-26,2026-05-10,Syntainics MBC,34,13,0,21,0,0,2874,2965
koszykówka,BBL,2025-26,2026-05-10,Veolia Towers Hamburg,34,13,0,21,0,0,2881,3004
koszykówka,BBL,2025-26,2026-05-10,Skyliners Frankfurt,34,12,0,22,0,0,2750,2928
koszykówka,BBL,2025-26,2026-05-10,Science City Jena,34,12,0,22,0,0,2756,3084
koszykówka,BBL,2025-26,2026-05-10,Basketball Löwen Braunschweig,34,10,0,24,0,0,2821,3070
koszykówka,BBL,2025-26,2026-05-10,MLP Academics Heidelberg,34,9,0,25,0,0,2676,2943
koszykówka,LNB,2025-26,2026-05-16,Paris Basketball,30,22,0,8,0,0,2973,2577
koszykówka,LNB,2025-26,2026-05-16,AS Monaco,29,22,0,7,0,0,2830,2622
koszykówka,LNB,2025-26,2026-05-16,Nanterre 92,30,21,0,9,0,0,2599,2431
koszykówka,LNB,2025-26,2026-05-16,ASVEL,30,20,0,10,0,0,2625,2399
koszykówka,LNB,2025-26,2026-05-16,Cholet Basket,30,19,0,11,0,0,2631,2514
koszykówka,LNB,2025-26,2026-05-16,Le Mans Sarthe,30,19,0,11,0,0,2705,2567
koszykówka,LNB,2025-26,2026-05-16,JL Bourg,30,18,0,12,0,0,2622,2515
koszykówka,LNB,2025-26,2026-05-16,SIG Strasbourg,30,17,0,13,0,0,2596,2596
koszykówka,LNB,2025-26,2026-05-16,Élan Chalon,30,16,0,14,0,0,2597,2554
koszykówka,LNB,2025-26,2026-05-16,SLUC Nancy,30,13,0,17,0,0,2571,2607
koszykówka,LNB,2025-26,2026-05-16,JDA Dijon,30,12,0,18,0,0,2704,2721
koszykówka,LNB,2025-26,2026-05-16,Boulazac Basket Dordogne,30,12,0,18,0,0,2474,2524
koszykówka,LNB,2025-26,2026-05-16,Limoges CSP,30,11,0,19,0,0,2506,2651
koszykówka,LNB,2025-26,2026-05-16,BCM Gravelines-Dunkerque,30,8,0,22,0,0,2478,2709
koszykówka,LNB,2025-26,2026-05-16,Saint-Quentin,30,8,0,22,0,0,2426,2596
koszykówka,LNB,2025-26,2026-05-16,ESSM Le Portel,29,0,0,29,0,0,2174,2928
siatkówka,PlusLiga,2025-26,2026-03-16,Aluron CMC Warta Zawiercie,26,21,0,5,0,0,68,27
siatkówka,PlusLiga,2025-26,2026-03-16,PGE Projekt Warsaw,26,19,0,7,0,0,60,33
siatkówka,PlusLiga,2025-26,2026-03-16,Bogdanka LUK Lublin,26,18,0,8,0,0,64,40
siatkówka,PlusLiga,2025-26,2026-03-16,Asseco Resovia,26,18,0,8,0,0,61,36
siatkówka,PlusLiga,2025-26,2026-03-16,Indykpol AZS Olsztyn,26,16,0,10,0,0,60,48
siatkówka,PlusLiga,2025-26,2026-03-16,PGE GiEK Skra Belchatow,26,15,0,11,0,0,52,46
siatkówka,PlusLiga,2025-26,2026-03-16,Jastrzebski Wegiel,26,15,0,11,0,0,52,47
siatkówka,PlusLiga,2025-26,2026-03-16,Zaksa Kedzierzyn-Kozle,26,12,0,14,0,0,59,57
siatkówka,PlusLiga,2025-26,2026-03-16,Energa Trefl Gdansk,26,14,0,12,0,0,55,52
siatkówka,PlusLiga,2025-26,2026-03-16,Slepsk Malow Suwalki,26,8,0,18,0,0,41,63
siatkówka,PlusLiga,2025-26,2026-03-16,Barkom-Kazhany Lviv,26,8,0,18,0,0,39,66
siatkówka,PlusLiga,2025-26,2026-03-16,Cuprum Stilon Gorzow,26,7,0,19,0,0,39,63
siatkówka,PlusLiga,2025-26,2026-03-16,Inpost ChKS Chelm,26,7,0,19,0,0,32,65
siatkówka,PlusLiga,2025-26,2026-03-16,Norwid Czestochowa,26,4,0,22,0,0,32,71
siatkówka,SuperLega,2025-26,2026-03-08,Sir Susa Scai Perugia,22,20,0,2,0,0,63,20
siatkówka,SuperLega,2025-26,2026-03-08,Rana Verona,22,17,0,5,0,0,53,24
siatkówka,SuperLega,2025-26,2026-03-08,Itas Trentino,22,16,0,6,0,0,55,25
siatkówka,SuperLega,2025-26,2026-03-08,Valsa Group Modena,22,16,0,6,0,0,54,32
siatkówka,SuperLega,2025-26,2026-03-08,Gas Sales Bluenergy Piacenza,22,13,0,9,0,0,54,32
siatkówka,SuperLega,2025-26,2026-03-08,Cucine Lube Civitanova,22,13,0,9,0,0,50,35
siatkówka,SuperLega,2025-26,2026-03-08,Allianz Milano,22,11,0,11,0,0,38,42
siatkówka,SuperLega,2025-26,2026-03-08,Mint Vero Volley Monza,22,8,0,14,0,0,32,48
siatkówka,SuperLega,2025-26,2026-03-08,Sonepar Padova,22,8,0,14,0,0,31,56
siatkówka,SuperLega,2025-26,2026-03-08,Cisterna Volley,22,5,0,17,0,0,26,58
siatkówka,SuperLega,2025-26,2026-03-08,MA Acqua S.Bernardo Cuneo,22,4,0,18,0,0,23,56
siatkówka,SuperLega,2025-26,2026-03-08,Yuasa Battery Grottazzolina,22,1,0,21,0,0,14,65
siatkówka,CEV CL,2025-26,2026-02-18,Ziraat Bankkart Ankara,6,6,0,0,0,0,18,3
siatkówka,CEV CL,2025-26,2026-02-18,Itas Trentino,6,4,0,2,0,0,13,10
siatkówka,CEV CL,2025-26,2026-02-18,ACH Volley Ljubljana,6,1,0,5,0,0,6,15
siatkówka,CEV CL,2025-26,2026-02-18,Tours VB,6,1,0,5,0,0,8,17
siatkówka,CEV CL,2025-26,2026-02-18,Bogdanka LUK Lublin,6,6,0,0,0,0,18,7
siatkówka,CEV CL,2025-26,2026-02-18,Knack Roeselare,6,3,0,3,0,0,15,14
siatkówka,CEV CL,2025-26,2026-02-18,Galatasaray HDI,6,2,0,4,0,0,11,15
siatkówka,CEV CL,2025-26,2026-02-18,Halkbank Ankara,6,1,0,5,0,0,9,17
siatkówka,CEV CL,2025-26,2026-02-18,Sir Sicoma Monini Perugia,6,6,0,0,0,0,18,4
siatkówka,CEV CL,2025-26,2026-02-18,Guaguas Las Palmas,6,3,0,3,0,0,12,14
siatkówka,CEV CL,2025-26,2026-02-18,Berlin Recycling Volleys,6,3,0,3,0,0,10,12
siatkówka,CEV CL,2025-26,2026-02-18,Lvi Praha,6,0,0,6,0,0,8,18
siatkówka,CEV CL,2025-26,2026-02-18,Aluron CMC Warta Zawiercie,6,5,0,1,0,0,15,4
siatkówka,CEV CL,2025-26,2026-02-18,Asseco Resovia,6,3,0,3,0,0,12,9
siatkówka,CEV CL,2025-26,2026-02-18,SVG Luneburg,6,2,0,4,0,0,7,14
siatkówka,CEV CL,2025-26,2026-02-18,Sporting CP,6,2,0,4,0,0,7,14
siatkówka,CEV CL,2025-26,2026-02-18,Cucine Lube Civitanova,6,5,0,1,0,0,17,5
siatkówka,CEV CL,2025-26,2026-02-18,Montpellier HSC VB,6,4,0,2,0,0,12,10
siatkówka,CEV CL,2025-26,2026-02-18,PGE Projekt Warsaw,6,3,0,3,0,0,13,11
siatkówka,CEV CL,2025-26,2026-02-18,Volley Haasrode Leuven,6,0,0,6,0,0,2,18
siatkówka,Bundesliga,2025-26,2026-03-22,SVG Luneburg,28,26,0,2,0,0,79,24
siatkówka,Bundesliga,2025-26,2026-03-22,Berlin Recycling Volleys,28,25,0,3,0,0,77,22
siatkówka,Bundesliga,2025-26,2026-03-22,VfB Friedrichshafen,28,23,0,5,0,0,73,22
siatkówka,Bundesliga,2025-26,2026-03-22,SWD Powervolleys Dueren,28,22,0,6,0,0,76,31
siatkówka,Bundesliga,2025-26,2026-03-22,Helios Grizzlys Giesen,28,19,0,9,0,0,63,43
siatkówka,Bundesliga,2025-26,2026-03-22,Barock Volleys MTV Ludwigsburg,28,15,0,13,0,0,50,49
siatkówka,Bundesliga,2025-26,2026-03-22,Netzhoppers Koenigs Wusterhausen,28,13,0,15,0,0,53,51
siatkówka,Bundesliga,2025-26,2026-03-22,WWK Volleys Herrsching,28,14,0,14,0,0,54,54
siatkówka,Bundesliga,2025-26,2026-03-22,FT 1844 Freiburg,28,13,0,15,0,0,49,58
siatkówka,Bundesliga,2025-26,2026-03-22,Baden Volleys SSC Karlsruhe,28,10,0,18,0,0,41,62
